# "Top 500 'Greatest' Novels (1021-2015)" [https://www.responsible-datasets-in-context.com/posts/top-500-novels/top-500-novels.html] by "Responsible Datasets in Context" [https://www.responsible-datasets-in-context.com/team.html], used under CC BY 4.0 [http://creativecommons.org/licenses/by/4.0/] / Some columns deleted
top_500_rank,title,author,pub_year,orig_lang,genre,author_field_of_activity,author_occupation,wiki_url,pg_eng_url
100,Père Goriot,Honoré de Balzac,1835,French,bildung,"literature,drama","novelist,playwright,dramatists,authors french",https://en.wikipedia.org/wiki/P%C3%A8re_Goriot,https://www.gutenberg.org/cache/epub/1237/pg1237.txt
101,Utopia,Thomas More,1516,Latin,na,"utopias,poetry,humanism,christianity,christian heresies","statesmen,politicians,lord chancellor,lawyers,humanists,authors,philosophers",https://en.wikipedia.org/wiki/Utopia_(book),https://www.gutenberg.org/cache/epub/2130/pg2130.txt
102,"The History of Tom Jones, a Foundling",Henry Fielding,1749,English,na,,,"https://en.wikipedia.org/wiki/The_History_of_Tom_Jones,_a_Foundling",https://www.gutenberg.org/cache/epub/6593/pg6593.txt
103,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,English,fantasy,"young adult fiction,young adult fantasy,fantasy fiction,fantasy,novels","novelists,authors,writers",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban,NA_not-pub-domain
104,Kim,Rudyard Kipling,1901,English,action,"poetry,fiction","poets,novelists,authors",https://en.wikipedia.org/wiki/Kim_(novel),https://www.gutenberg.org/cache/epub/2226/pg2226.txt
105,The Sound and the Fury,William Faulkner,1929,English,na,"short stories,novels,fiction",novelists,https://en.wikipedia.org/wiki/The_Sound_and_the_Fury,NA_not-pub-domain
106,Harry Potter and the Goblet of Fire,J.K. Rowling,2000,English,fantasy,"young adult fiction,young adult fantasy,fantasy fiction,fantasy,novels","novelists,authors,writers",https://en.wikipedia.org/wiki/Harry_Potter_and_the_Goblet_of_Fire,NA_not-pub-domain
107,The Mill on the Floss,George Eliot,1860,English,na,"novels,fiction","translators,poets,novelists,journalists",https://en.wikipedia.org/wiki/The_Mill_on_the_Floss,https://www.gutenberg.org/cache/epub/6688/pg6688.txt
108,A Wrinkle in Time,Madeleine L'Engle,1962,English,scifi,childrens stories,"teachers,authors",https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,NA_not-pub-domain
109,The Hound of the Baskervilles,Arthur Conan Doyle,1902,English,mystery,"spiritualism,medicine,literature","spiritualists,physicians,authors english",https://en.wikipedia.org/wiki/The_Hound_of_the_Baskervilles,https://www.gutenberg.org/cache/epub/2852/pg2852.txt
